HOUSEID WTHHFIN HHVEHCNT HHFAMINC NUMADLT WRKCOUNT DRVRCNT HOMEOWN URBRUR URSIZE D_PT HHR_AGE HHR_SEX HHR_EDUC HBRESDN HBPPOPDN HBHTNRNT HTRESDN HTHTNRNT HTPPOPDN HTEEMPDN TOTANNMI TOTBESTM GSCOST AVGGSCST GSTOTCST GSTOTEST zero logsum1 logsum2 logsum3 logsum4 const MILES LOG_MILES MILES_LOWER GSTTOTCST_1000 GSTTOTEST_1000 GSTOTCST_1000 GSTOTEST_1000 HTRESDN_1000 COST_PER_MILE MEAN_COST MILES_10k logsum
32430411 831.8286 0 2 1 0 0 0 1 6 0 60 1 1 17000 30000 80 7000 80 7000 350 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
32818505 394.782 0 3 1 0 0 0 1 6 0 59 1 2 17000 30000 70 7000 60 17000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
33209436 537.2363 0 3 1 0 0 1 1 6 0 68 1 3 7000 17000 90 7000 50 17000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
33861432 2330.7311 0 5 1 0 0 1 1 5 0 87 1 2 7000 7000 70 3000 60 7000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
34715484 1490.5317 0 4 2 1 1 0 1 6 1 55 1 2 3000 7000 80 3000 80 7000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
35793313 698.2903 0 8 1 0 1 1 1 6 0 78 1 5 17000 30000 70 17000 60 17000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 17 0 0 0 0
36036585 196.6522 0 12 1 0 1 1 1 6 0 63 1 5 30000 30000 70 30000 70 30000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 30 0 0 0 0
36119059 53.5508 0 5 1 0 0 1 1 2 0 56 1 4 1500 7000 40 1500 40 3000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 1.5 0 0 0 0
36314041 2914.3016 0 8 1 1 1 0 1 6 0 68 0 5 7000 7000 60 3000 40 7000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
36908664 1591.8303 0 15 1 1 1 1 1 6 0 48 0 5 30000 30000 80 30000 70 30000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 30 0 0 0 0
37047805 1378.453 0 4 1 1 0 1 1 6 0 52 1 3 7000 17000 30 7000 30 17000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
37442811 441.7489 0 4 1 1 0 0 1 2 0 51 0 2 1500 3000 50 1500 40 3000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 1.5 0 0 0 0
37551151 441.8226 0 10 4 3 3 0 0 1 0 23 0 1 300 750 60 300 50 300 150 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 0.3 0 0 0 0
37997704 927.4882 0 5 3 0 0 0 1 6 1 54 1 1 7000 17000 50 7000 50 17000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
39314734 4025.042 0 14 1 1 1 0 1 6 1 47 0 4 30000 30000 60 30000 60 30000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 30 0 0 0 0
40133669 242.0579 0 5 1 0 0 0 0 1 0 51 1 4 50 50 20 50 20 50 25 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 0.05 0 0 0 0
40624037 1367.6946 0 4 1 1 1 1 1 6 0 70 1 3 3000 7000 30 1500 20 7000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 1.5 0 0 0 0
41162385 428.6743 0 2 1 0 1 1 1 6 0 88 1 3 3000 7000 60 3000 60 7000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
41610532 5967.3728 0 5 1 0 0 0 1 6 0 78 1 4 7000 17000 40 3000 20 7000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
41897285 1017.0196 0 1 1 0 0 0 1 6 0 83 1 4 17000 17000 80 7000 70 17000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
42188935 239.0833 0 12 1 0 0 1 1 6 0 63 0 3 7000 7000 50 7000 70 17000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
42889867 1947.4352 0 8 1 1 1 0 1 6 1 47 1 2 3000 7000 60 750 30 1500 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 0.75 0 0 0 0
43678433 1165.0754 0 5 2 2 1 1 1 6 1 56 0 2 7000 17000 80 3000 80 7000 3000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
44129222 127.315 0 18 1 0 0 1 1 6 0 67 1 5 7000 7000 50 7000 70 17000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
44208994 265.3224 0 3 1 0 0 1 1 6 0 82 1 1 7000 7000 5 7000 40 17000 750 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
44329134 4375.1953 0 3 1 1 1 0 1 6 1 60 1 2 7000 17000 30 7000 40 17000 1500 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 7 0 0 0 0
44677527 257.3983 0 1 3 1 2 1 0 1 0 46 1 3 50 300 20 50 20 300 75 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 0.05 0 0 0 0
44831093 3413.1578 0 5 2 1 1 0 1 6 0 42 1 1 17000 17000 70 17000 70 17000 750 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 17 0 0 0 0
45274811 5446.917 0 5 1 0 0 1 1 2 0 90 1 2 750 3000 5 750 20 3000 750 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 0.75 0 0 0 0
45633913 488.973 0 1 1 0 1 0 1 6 0 53 0 2 3000 7000 50 3000 30 7000 5000 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.693147180559945 0.5 0 0 0 0 3 0 0 0 0
